3, 0.002840
7, 0.024119
11, 0.289135
15, 1.937774
3, 0.002786
7, 0.024199
11, 0.289111
15, 1.937765
3, 0.002797
7, 0.024187
11, 0.289139
15, 1.937769
3, 0.002806
7, 0.024182
11, 0.289165
15, 1.937767
3, 0.002832
7, 0.024246
11, 0.289133
15, 1.937751
3, 0.002853
7, 0.024181
11, 0.289132
15, 1.937737
3, 0.002853
7, 0.024108
11, 0.289140
15, 1.937775
3, 0.002845
7, 0.024212
11, 0.289128
15, 1.937743
3, 0.002787
7, 0.024199
11, 0.289112
15, 1.937770
3, 0.002839
7, 0.024204
11, 0.289343
15, 1.937733
3, 0.002858
7, 0.024185
11, 0.289112
15, 1.937747
3, 0.002862
7, 0.024168
11, 0.289080
15, 1.937744
3, 0.002837
7, 0.024162
11, 0.289107
15, 1.937744
3, 0.002809
7, 0.024215
11, 0.289110
15, 1.937752
3, 0.002840
7, 0.024214
11, 0.289115
15, 1.937753
3, 0.002854
7, 0.024249
11, 0.289100
15, 1.937739
3, 0.002843
7, 0.024165
11, 0.289120
15, 1.937769
3, 0.002839
7, 0.024212
11, 0.289120
15, 1.937728
3, 0.002873
7, 0.024208
11, 0.289125
15, 1.937718
3, 0.002865
7, 0.024211
11, 0.289103
15, 1.937744
