3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
3, 100.000000
7, 100.000000
11, 100.000000
15, 100.000000
