Number of Threads,Average Wall Clock Time,Average per Vector Wall Clock Time
8,47.56007486,0.000125773
16,23.7329158,6.27E-05
24,16.62862835,4.41E-05
30,13.6345354,3.60E-05
32,12.69692505,3.37E-05
48,12.1360302,3.21E-05
